Country,Coder,Reference,Year,Subregion,FAD type,Event,Event notes,N FADs,N public FADs,N private FADs,FAD density,N FAD fishers,N FAD vessels,N FADs/fisher,Prevalence,Longevity,Deployment depth,Distance from shore,Deployment distribution,Landings,Landings unit,Revenue,Catch species composition,Catch size composition,Construction materials,Construction costs,Operation costs,Funding,Managment,Legislation,Average age of fishers,Dominant etnia among fishers,Mean years of fishing experience,Mean years of offshore fishing activity
Dominica,MW,Defoe 2007 (WECAFC report),1990,,,Introduction,"Introduced again by FAO expert linked with Dominican fisheries division, but also was not adopted, fishers cut ropes to take buoys",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,Defoe 2007 (WECAFC report),2000,,private or small group co-owned,Adoption,"Persistance from fisheries division, fishers began adopting FADs",,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,Defoe 2007 (WECAFC report),2002,,,,,,,,,,,,,"Up to 2 years, usually shorter",,,,,,,,,"Based on French design, materials obtained from Guadeloupe or Martinique",,,,,,,,,
Dominica,MW,"Defoe 2007B (WECAFC report, mgmt)",2002,,private or small group,,,,,,,,,,,,,,,,,,,,,3000 ECD,,"Personal, occassionally govt. assistance",,,,,,
Dominica,MW,Sidman et al. 2014,late 1980s,,private,*Adoption,Redundant estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,Sidman et al. 2014,2012,,private,,,,,,,,,,,,,,,260,lb/trip,,,,,,,,,,,,,
Dominica,MW,Sidman et al. 2014,2012,,small group co-owned,,,,,,,,,,,,,,,178,lb/trip,,,,,,,,,,,,,
Dominica,MW,Sidman et al. 2014,2012,,public,,,,,,,,,,,,,,,125,lb/trip,,,,,,,Government funding,,,,,,
Dominica,MW,CRFM 2015,1987,,,Legislation,,,,,,,,,,,,,,,,,,,,,,,,Legislation on licensing/control of FADs,,,,
Dominica,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Dominica,MW,CRFM 2013,2013,,,Active,,40,,,,,,,,,,,,,,,,,,,,"Private, JICA, IFREMER, U. Florida, Texas A&M, Govt. Dominica",,,,,,
Dominica,MW,CRFM 2015,2011,,,,,,,,,338,200,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,CRFM 2015,2012,,,,,,,,,,,,"74% of catch, 45% of vessels",,,,,,,,,,,,,,,,,,,
Dominica,IR,"Mathieu et al., 2014",1988-1990,,,*Adoption,Redundant estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,IR,"Mathieu et al., 2014",2013,,,Active,,29,,,Fishers visit one or two FADs per fishing trip,,Max ~ 240 (see Fig. 2 for evolution over time),,,,,,,,,,,,,,,,,,,,,
Dominica,IR,"Mathieu et al., 2014",2010,,,,,,,,,,,,,,,,,,,,"Yellowfin tuna (32%), Dolphin fish (16%), Blue marlin (7%)",,,,,,,,,,,
Dominican Republic (SE),MW,FAO et al. 2018,2018,,,Active,,2500,,,,500,258,5-10,,"""short term"" (lose 2/3 annually)",,,,,,,see Fig. 15-17,,"cheap, recycled materials",,,,,,,,,
Grenada,IR,"SeaGrant, JICA and University of Florida, 2017",2017,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,38,Black,16.47,11
Grenada,MW,CRFM 2013,2013,,,Active,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MW,CRFM 2013,2012,,public,,,,,,,,,,,,,,,22,metric tons/yr/1 FAD,,,,,,,,,,,,,
Grenada,MW,CRFM 2015,,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Grenada,MW,CRFM 2015,2013,,,,,,,,,,50,,"7% fleet, 1.2% national catch",,,,,,,,,,,,,"FAO, JICA, Govt. Grenada, IFREMER, private",,,,,,
Grenada,MW,FAO et al. 2018,2018,,,Active,,11,7,4,,,85,,(pelagic fishery is predominantly long-line),,,,,,,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,2018,Grenville,public,,,5,5,,,,80,,,,,,,22.2,tons/yr,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,2018,Carriacou,public,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,2018,Petit Martinique,private,,,4,,4,,2,2,2,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2017,1990,,,Adoption,,,,,,,80,,,"4-5yrs ""at most""",,<10km,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2017,2012,,,Active,,500,,500,2.1/100km2,,,,,,mean 2010m,mean 31.3km,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2011,2008,,,,,,,,,,,,,,,,,1090,metric tons/yr,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2013,2008,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Guadeloupe,MW,CRFM 2015,2010,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,CRFM 2015,,,,,,,,,,,,,"37% of fleet, 28% landings, 25% value",,,,,,,,,,,,,mainly private,,,,,,
Guadeloupe,MW,Guyader et al. 2018,1994,La Desirade,,Adoption,Adopted from mainland Guadeloupe fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,IR,"Mathieu et al., 2014",1988,,Mainly private,Introduction,1988-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,"Mathieu et al., 2014",2013,,,,,400,,,Fishers visit on average 4 to 5 FADs per fishing trip,,Max 300 (see Fig. 1 for evolution over time),,Most fishers use FADs and Multipurpose fixed gear (31 %) only 24% perform exclusively FAD fishing,,,,,30 - 43,kg per fishing trip with FAD,~ 20 Euro per member per hour (see Fig.11 to compare with other gears),"Yellowfin tuna (35-36%), dolphin fish (29-33%) and blue marlin (9 -18 %)",,,,,,,,,,,
Haiti (S),MW,CRFM 2013,1985,,,Introduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti (S),MW,Valles 2015,2014,,,Active,,21,,,,450,136,,,,,,,43,metric tons/15 mo/6-7 FADs,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2011,2009,,,,,,,,,,,,,,,,,334,metric tons/yr/12 FADs,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2011,2010,,,,,,,,,,,,,,,,,287,metric tons/yr/12 FADs,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2015,2009-2012,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2015,2012,,,,,,,,,,,,,,,Half within 12nm,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Martinique,MW,"CRFM 2015 (Reynal et al. 2015, FAO 2007)",,,,,,,,,,,,,,,,,,,,,,(see figures),,,,,,,,,,
Martinique,IR,"Mathieu et al., 2014",1982,,Mainly collectively own,Introduction,Tried to develop large pelagic fishing by FAD use,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,IR,"Mathieu et al., 2014",2013,,public,Active,,16,16,,Fishers visit one or two FADs per fishing trip,,Max 300 (see Fig. 1 for evolution over time),,"Most fishers combine FADs and pots (34%), only 19% perfom exclusively FAD fishing",,,,,26.7,kg per fishing trip with FAD,,"Blue marlin ( 36 - 44%), yellowfin tuna (15- 25 %), dolphin fish ( 4- 9%).",,,,,mainly govt,,,,,,
Martinique,MW,CRFM 2015,2008,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015,2010,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015,2011,,,,,,,,,,,,"35% of fleet, 25% when considered only exclusive FAD fishers",,,,,,,,,,,,,,,,,,,
Monserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Feigenbaum et al. 1989,1986,,,Introduction,targetted to sportfishers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Merten et al. 2018,2015,,,Introduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Merten et al. 2018,2018,,public,Active,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,MW,LaPlace (pers. com.) 2018,2018,,,Active,,800,,,,,40,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,IR,"SeaGrant, JICA and University of Florida, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),1985,,,Introduction,Introduced from US NGO in 1980s,,,,,,,,,,600-800ft,,,,,,,,"""McIntosh plastic kite"" or floating drum method, anchored with engine blocks, floats with radar deflector and light",,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),1995,,,Adoption,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),2002,,,,,,,,,,,,,,1500-3000ft,20-30nm,,,,,,,"3/8-1/2"" poly rope, 9-12 floats, old netting, single engine block so they can be relocated if found by other fishers",,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),1995,,,Legislation,,,,,,,,,,,,,,,,,,,,,,,,(need to find details),,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,,,Active,,35,6,29,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,Nevis,,,,,,,,41,16,,,,,,,,,,,,,,,"IFREMER, JICA, CAMPAM, private",,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,Nevis,public,,,2,,,,,,,,,,,,,,,,,,,,"IFREMER, JICA, CAMPAM, private",,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,Nevis,private,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,Saint Kitts,public,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,2013,Saint Kitts,private,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,IR,"SeaGrant, JICA and University of Florida, 2017",2017,,private,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,43,Black,23.13,20
Saint Lucia,MW,George 2007 (WECAFC report),1993,,public,Introduction,"with funding from JICA, eventually FTC (1996)",,,,,,,,,,,,,,,,,,,,,JICA,,,,,,
Saint Lucia,MW,George 2007 (WECAFC report),1996,,public,Introduction,,,,,,,,,,,,,,,,,,,,,,"JICA, FTC",,,,,,
Saint Lucia,MW,George 2007 (WECAFC report),2002,,,,,,,,,,,,,6mo-2yr,500-2000ft (? report unit says miles...),10m,min 5nm apart,,,,,,,7000 ECD,,,,,,,,
Saint Lucia,MW,CRFM 2015,1984,,,Legislation,,,,,,,,,,,,,,,,,,,,,,"FAO, JICA, Govt. Saint Lucia, EU, fisher cooperatives and private",,(need to find details),,,,
Saint Lucia,MW,CRFM 2015,2015,,,Active,(est. 10-15 FADs),12,,,,1000,500,,,,,,,,,,,,,,,,,,,,,
Saint Martin,MW,LaPlace (pers. com.) 2018,2018,,,Active,,20,,,,,7,,,,,,,,,,,,,,,,,,,,,
Saint Vincent & the Grenadines,IR,"SeaGrant, JICA and University of Florida, 2017",2017,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,43,Black,22.75,18
Saint Vincent & the Grenadines,MW,George 2007 (WECAFC report),1997,,,Introduction,Soon lost due to bad weather/possible cutting,1,,,,,,,,,50m,5nm,,,,,,,Bamboo,,,,,,,,,
Saint Vincent & the Grenadines,MW,George 2007 (WECAFC report),2002,,public,Introduction,Proposed public FAD,1,,,,,,,,,100m,5nm,,,,,,,"""spar buoy"" design - surface buoy with tension, gas cylinder as spar buoy, cast concrete anchor blocks",4700 ECD (? or USD?),,,,,,,,
Saint Vincent & the Grenadines,MW,CRFM 2013,2013,,,Active,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent & the Grenadines,MW,CRFM 2015,,,,,,,,,,,,,,,,,,6.9,metric tons/16mo/2 FADs,,,,,,,,,,,,,
Saint Vincent & the Grenadines,MW,CRFM 2015,(see CRFM 2013),,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),1999,,public,Introduction,"Bamboo FADs introduced, apparently successful but fishers would not share information about catches, eventually FADs deteriorated and were not replaced",3,,,,,,,,,,,,,,,,,Bamboo,,,"CFTDI, JICA",,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),2002,,public,Introduction,"little monitoring, eventually deteriorated",10,,,,,,,,,,,,,,,,,Bamboo or McIntosh,,,,,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),2003,,public,Introduction,,11,,,,,,,,,100m,2.5-4nm,min 3nm apart (apparently most productive),,,,,,"Bamboo or McIntosh, flag marker (no radar)",,,,,,,,,
Trinidad & Tobago,MW,CRFM 2015,2013,Tobago,,,,,,,,100,,,25% of fishers,,,,,,,,,,,,,,,,,,,
Turks & Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVIs,MW,Friedlander et al. 1994,1986,,,Introduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
