"Country","Commodity","Flow","Unit","Year","Quantity","fad_fished","flow_binary","alpha_3"
"Antigua and Barbuda","Cods nei, fillets, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods nei, frozen","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods nei, frozen","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Cods nei, salted or in brine","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Cods nei, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods nei, salted or in brine","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Cods, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods, fresh or chilled, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods, not minced, prepared or preserved","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Common sole, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Common sole, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Euthynnus other than skipjack prep. or pres. not minced, nei","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Fish body oils, nei","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish dried, whether or not salted, nei","Exports","Tonnes",2014,11,0,1,"ATG"
"Antigua and Barbuda","Fish dried, whether or not salted, nei","Imports","Tonnes",2014,252,0,1,"ATG"
"Antigua and Barbuda","Fish dried, whether or not salted, nei","Reexports","Tonnes",2014,11,0,1,"ATG"
"Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Imports","Tonnes",2014,2,0,1,"ATG"
"Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish fillets, fresh or chilled, nei","Imports","Tonnes",2014,2,0,1,"ATG"
"Antigua and Barbuda","Fish fillets, frozen, nei","Imports","Tonnes",2014,180,0,1,"ATG"
"Antigua and Barbuda","Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish live, nei","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish live, nei","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish live, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish liver oils, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish liver oils, nei","Imports","Tonnes",2014,3,0,1,"ATG"
"Antigua and Barbuda","Fish liver oils, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Imports","Tonnes",2014,48,0,1,"ATG"
"Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish minced (=surimi), frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish minced nei, prepared or preserved","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish minced nei, prepared or preserved","Imports","Tonnes",2014,8,0,1,"ATG"
"Antigua and Barbuda","Fish minced nei, prepared or preserved","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish nei, prepared or preserved, not minced","Imports","Tonnes",2014,10,0,1,"ATG"
"Antigua and Barbuda","Fish nei, salted or in brine","Imports","Tonnes",2014,147,0,1,"ATG"
"Antigua and Barbuda","Fish nei, salted or in brine","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish nei, smoked","Imports","Tonnes",2014,27,0,1,"ATG"
"Antigua and Barbuda","Fish waste, nei","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish waste, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish waste, nei","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish, dried, salted or smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fish, fresh or chilled, nei","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish, fresh or chilled, nei","Imports","Tonnes",2014,88,0,1,"ATG"
"Antigua and Barbuda","Fish, fresh or chilled, nei","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Fish, frozen, nei","Imports","Tonnes",2014,103,0,1,"ATG"
"Antigua and Barbuda","Fishmeal fit for human consumption, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fishmeal fit for human consumption, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fishmeals, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Fishmeals, nei","Imports","Tonnes",2014,1,0,1,"ATG"
"Antigua and Barbuda","Flatfish fillets in blocks, frozen, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Flatfish nei, frozen","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Flatfish nei, frozen","Imports","Tonnes",2014,2,0,1,"ATG"
"Antigua and Barbuda","Flatfish nei, frozen","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Flatfish, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Flatfish, fresh or chilled, nei","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Gadiformes nei, dried and salted","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Gadiformes nei, dried and salted","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Gadiformes, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Gadiformes, salted or in brine, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Gadiformes, smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Haddock dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Haddock, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Haddock, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Hake nei fillets, frozen","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Hakes nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Hakes, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Halibuts nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Halibuts, fresh or chilled, nei","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herring fillets, dried, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herring nei, fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herring, salted or in brine","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herring, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herring, salted or in brine","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herrings nei, frozen","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herrings nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herrings nei, frozen","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herrings nei, smoked","Imports","Tonnes",2014,56,0,1,"ATG"
"Antigua and Barbuda","Herrings prepared or preserved, not minced, nei","Imports","Tonnes",2014,2,0,1,"ATG"
"Antigua and Barbuda","Herrings prepared or preserved, not minced, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herrings, dried, whether or not salted","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herrings, fresh or chilled, nei","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Herrings, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Herrings, fresh or chilled, nei","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Jack and horse mackerel prepared or preserved, not minced","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Ling, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Livers and roes, smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Livers, roes, milt, dried, salted or in brine, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Livers, roes, milt, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Livers, roes, milt, frozen","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Mackerel fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerel prepared or preserved, not minced, nei","Imports","Tonnes",2014,48,0,1,"ATG"
"Antigua and Barbuda","Mackerel prepared or preserved, not minced, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerel, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerel, dried, whether or not salted, but not smoked","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels nei, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels, fillets, prepared or preserved","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels, nei, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels, nei, fresh or chilled","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Mackerels, smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish fillets, frozen, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish fillets, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish nei, smoked","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish nei, smoked","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish, fresh or chilled, nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Marine fish, frozen, nei","Exports","Tonnes",2014,44,0,1,"ATG"
"Antigua and Barbuda","Marine fish, frozen, nei","Reexports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Miscellaneous marine fish fillets, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Miscellaneous marine fish fillets, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Miscellaneous marine fish meat, minced or not, frozen, nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Miscellaneous marine fish, salted or in brine, nei","Exports","Tonnes",2014,1,0,1,"ATG"
"Antigua and Barbuda","Miscellaneous marine fish, salted or in brine, nei","Reexports","Tonnes",2014,1,0,1,"ATG"
"Antigua and Barbuda","Ornamental fish nei","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Ornamental fish nei","Imports","Tonnes",2014,1,0,1,"ATG"
"Antigua and Barbuda","Ornamental fish nei","Reexports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Ornamental saltwater fish","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Pacific cod fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Plaices, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Redfish, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Saithe (= Pollock), salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Saithe (=Pollock) fillets, frozen","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Saithe (=Pollock), fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Saithe (=Pollock), frozen","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Saithe, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei","Imports","Tonnes",2014,14,0,1,"ATG"
"Antigua and Barbuda","Seabass, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Shark fins, dried, unsalted","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Sharks nei, fresh or chilled","Imports","Tonnes",2014,4,0,1,"ATG"
"Antigua and Barbuda","Sharks nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Skipjack tuna, frozen","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Soles, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Southern bluefin tuna (Thunnus maccoyii), live","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Swordfish fillets, frozen","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Swordfish meat, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Swordfish, fresh or chilled","Exports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Swordfish, fresh or chilled","Imports","Tonnes",2014,0,0,0,"ATG"
"Antigua and Barbuda","Swordfish, frozen","Imports","Tonnes",2014,16,0,1,"ATG"
"Antigua and Barbuda","Toothfish (Dissostichus spp.), fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Tuna loins and fillets, frozen","Imports","Tonnes",2014,0,1,0,"ATG"
"Antigua and Barbuda","Tuna loins, prepared or preserved","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas nei, frozen","Exports","Tonnes",2014,330,1,1,"ATG"
"Antigua and Barbuda","Tunas nei, frozen","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Exports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas, fresh or chilled, nei","Exports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tunas, fresh or chilled, nei","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Tusk, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Exports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Imports","Tonnes",2014,27,1,1,"ATG"
"Antigua and Barbuda","Yellowfin tuna, frozen, nei","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Aruba","Alaska pollock, frozen","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Albacore (=Longfin tuna), fresh or chilled","Exports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes",2014,4,1,1,"ABW"
"Aruba","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Anchovies, prepared or preserved, not minced","Exports","Tonnes",2014,8957,0,1,"ABW"
"Aruba","Anchovies, prepared or preserved, not minced","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Anchovies, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes",2014,NA,1,NA,"ABW"
"Aruba","Atlantic herring, not minced, prep. or pres., nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Atlantic herring, smoked","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Atlantic mackerel prepared or preserved, not minced","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Bigeye tuna, fresh or chilled","Imports","Tonnes",2014,1,1,1,"ABW"
"Aruba","Caviar and caviar substitutes","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Caviar substitutes","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Cod nei, fillets, frozen","Imports","Tonnes",2014,2,0,1,"ABW"
"Aruba","Cods nei, dried,  whether or not salted","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Cods nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Cods nei, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Cods, fresh or chilled, nei","Exports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Cods, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Cods, not minced, prepared or preserved","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","European plaice, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","European sardine, prepared or preserved, not minced, in oil","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","European sardine, prepared or preserved, not minced, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish body oils, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish dried, whether or not salted, nei","Exports","Tonnes",2014,16,0,1,"ABW"
"Aruba","Fish dried, whether or not salted, nei","Imports","Tonnes",2014,2,0,1,"ABW"
"Aruba","Fish fillets, dried, salted or in brine, nei","Exports","Tonnes",2014,1,0,1,"ABW"
"Aruba","Fish fillets, dried, salted or in brine, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish fillets, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish fillets, fresh or chilled, nei","Imports","Tonnes",2014,100,0,1,"ABW"
"Aruba","Fish fillets, frozen, nei","Exports","Tonnes",2014,3,0,1,"ABW"
"Aruba","Fish fillets, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish live, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish live, nei","Imports","Tonnes",2014,147,0,1,"ABW"
"Aruba","Fish liver oils, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish liver oils, nei","Imports","Tonnes",2014,40,0,1,"ABW"
"Aruba","Fish meat, whether or not minced nei, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish meat, whether or not minced, frozen, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish meat, whether or not minced, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish minced nei, prepared or preserved","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish minced nei, prepared or preserved","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish nei, prepared or preserved, not minced","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Fish nei, salted or in brine","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish nei, salted or in brine","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Fish nei, smoked","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Fish roes, prepared, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish waste, nei","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Fish, fresh or chilled, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fish, fresh, chilled or frozen","Imports","Tonnes",2014,56,0,1,"ABW"
"Aruba","Fish, frozen, nei","Exports","Tonnes",2014,1,0,1,"ABW"
"Aruba","Fish, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fishmeal fit for human consumption, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Fishmeals, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Flatfish nei, fillets, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Flatfish nei, frozen","Exports","Tonnes",2014,6,0,1,"ABW"
"Aruba","Flatfish nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Flatfish, fresh or chilled, nei","Imports","Tonnes",2014,1,0,1,"ABW"
"Aruba","Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Gadiformes fillets, fresh or chilled, nei","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Gadiformes fillets, frozen, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Gadiformes nei, dried and salted","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Gadiformes nei, frozen","Imports","Tonnes",2014,3040,0,1,"ABW"
"Aruba","Gadiformes, fresh or chilled, nei","Imports","Tonnes",2014,8,0,1,"ABW"
"Aruba","Haddock fillets, frozen","Imports","Tonnes",2014,1,0,1,"ABW"
"Aruba","Haddock, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Halibuts nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Herring nei, fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Herring, salted or in brine","Imports","Tonnes",2014,3256,0,1,"ABW"
"Aruba","Herrings nei, frozen","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Herrings nei, smoked","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Herrings prepared or preserved, not minced, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Herrings, fresh or chilled, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Ling, dried, whether or not salted, but not smoked","Imports","Tonnes",2014,35,0,1,"ABW"
"Aruba","Livers, roes, milt, dried, salted or in brine, nei","Exports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Livers, roes, milt, dried, salted or in brine, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Livers, roes, milt, fresh or chilled, nei","Imports","Tonnes",2014,161,0,1,"ABW"
"Aruba","Livers, roes, milt, frozen","Imports","Tonnes",2014,7,0,1,"ABW"
"Aruba","Mackerel prepared or preserved, not minced, nei","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Mackerels nei, frozen","Imports","Tonnes",2014,0,0,0,"ABW"
"Aruba","Mackerels, nei, fresh or chilled","Imports","Tonnes",2014,NA,0,NA,"ABW"
"Aruba","Mackerels, smoked","Imports","Tonnes",2014,NA,0,NA,"ABW"
