Country,Coder,Reference,Event,Event notes,Event year,Subregion,FAD ownership,N total FADs,N public FADs,N private FADs,FAD density,N FAD fishers,N FAD vessels,N FADs/fisher,Prevalence,Longevity,Deployment depth,Distance from shore,Deployment distribution,Landings,Landings unit,Revenue,Catch species composition,Catch size composition,Construction materials,Construction costs,Operation costs,Funding,Managment,Legislation,Average age of fishers,Dominant etnia among fishers,Mean years of fishing experience,Mean years of offshore fishing activity
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia (San Andres & Providencia),,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,JL,Martin (WECAF Report 2002),,,2002,,,3,,,,,,,,,,,,10 t,3 months,,"White marlin (60%), Sailfish (25%), Common Dolphin (15%)",,,"""High""",,,,,,,,
Curacao,MW,CRFM 2015,Introduction,late 1960s-early 1970s; moored bamboo rafts,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,MW,van But 2007 (WECAFC report),Introduction,,1993,,,,,,,,,,,,,,,,,,,,Constructed metal buoys with poles,,,,,,,,,
Curacao,JL,van Buurt (WECAF Report 2002),Introduction,Redundant estimate,1993,,,,,,,,,,,3+ years (replace anodes every 1.5 years),600 m,,,,,,,,"Constructed spar buoy with poles, submersible solar panel with battery unit.",,,Marcultura Foundation,,,,,,
Curacao,MW,B. DeVries (pers. comm.) 2018,Active,,2018,,,4,1,3,,,40,,,,,,,,,,,,,,,,,,,,,
Dominica,JL,Sebastian (WECAF Report 2002),Introduction,mid-1980s,1985,,,11,,,,,,,,,,,,"Yellow fin tuna (174,961 lbs), Skipjack tuna (191,431 lbs), Blackfin tuna (186,325 lbs), Wahoo (102,783 lbs), King mackerel (78,148 lbs)",July-August 2001,,"Yellow fin tuna, Skipjack tuna, Blackfin tuna, Wahoo, King Mackerel",,"Purse seine net, plastic containers, circle and PB 7 buoys. Older methods used bamboo, rope, tyres, anchor, shackles and swivels.",3800 ECD,,Assistance from developing came from FAO,,In progress,,,,
Dominica,MW,Defoe 2007 (WECAFC report),Introduction,"First introduced by FAO master fisherman Richard Mounsey, but fishermen did not adopt concept",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,CRFM 2015,Legislation,,1987,,,,,,,,,,,,,,,,,,,,,,,,,Legislation on licensing/control of FADs,,,,
Dominica,MW,Defoe 2007 (WECAFC report),Introduction,"Introduced again by FAO expert linked with Dominican fisheries division, but also was not adopted, fishers cut ropes to take buoys",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,Defoe 2007 (WECAFC report),Adoption,"Persistance from fisheries division, fishers began adopting FADs",2000,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,Defoe 2007 (WECAFC report),,,2002,,,,,,,,,,,"Up to 2 years, usually shorter",,,,,,,,,"Based on French design, materials obtained from Guadeloupe or Martinique",,,,,,,,,
Dominica,MW,"Defoe 2007B (WECAFC report, mgmt)",,,2002,,Private,,,,,,,,,,,,,,,,,,,3000 ECD,,"Personal, occassionally govt. assistance",,,,,,
Dominica,MW,Sidman et al. 2014,,,2012,,Private,,,,,,,,,,,,,260,lb/trip,,,,,,,,,,,,,
Dominica,MW,Sidman et al. 2014,,,2012,,small group co-owned,,,,,,,,,,,,,178,lb/trip,,,,,,,,,,,,,
Dominica,MW,Sidman et al. 2014,,,2012,,Public,,,,,,,,,,,,,125,lb/trip,,,,,,,Government funding,,,,,,
Dominica,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Dominica,MW,CRFM 2013,Active,,2013,,,40,,,,,,,,,,,,,,,,,,,,"Private, JICA, IFREMER, U. Florida, Texas A&M, Govt. Dominica",,,,,,
Dominica,MW,CRFM 2015,,,2011,,,,,,,338,200,,,,,,,,,,,,,,,,,,,,,
Dominica,MW,CRFM 2015,,,2012,,,,,,,,,,"74% of catch, 45% of vessels",,,,,,,,,,,,,,,,,,,
Dominica,IR,"Mathieu et al., 2014",Active,,2013,,,29,,,Fishers visit one or two FADs per fishing trip,,Max ~ 240 (see Fig. 2 for evolution over time),,,,,,,,,,,,,,,,,,,,,
Dominica,IR,"Mathieu et al., 2014",,,2010,,,,,,,,,,,,,,,,,,"Yellowfin tuna (32%), Dolphin fish (16%), Blue marlin (7%)",,,,,,,,,,,
Dominica,IR,"SeaGrant, JICA, and UF 2017",,This refers to the average number of years fishers reported they have been using FADs,2017,,Private,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,42,Black,21.32,16
Dominican Republic,MW,FAO et al. 2018,Active,,2018,Southeast,,2500,,,,500,258,5-10,,"""short term"" (lose 2/3 annually)",,,,,,,see Fig. 15-17,,"cheap, recycled materials",,,,,,,,,
Grenada,JL,Baldeo (WECAF Report 2002),Introduction,early 1990s,1992,,,1,,,,,20-30,,,,365 m,200 m,,,,,"Yellowfin tuna, black fin tuna, dolphinfish, kingfish, and other small tunas",,"decomissioned permanently anchored fishing boats, and bamboo.",,,FAO assistance,,,,,,
Grenada,IR,"SeaGrant, JICA, and UF 2017",,,2017,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,38,Black,16.47,11
Grenada,MW,CRFM 2013,,,2012,,Public,,,,,,,,,,,,,22,metric tons/yr/1 FAD,,,,,,,,,,,,,
Grenada,MW,CRFM 2015,,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Grenada,MW,CRFM 2015,,,2013,,,,,,,,50,,"7% fleet, 1.2% national catch",,,,,,,,,,,,,"FAO, JICA, Govt. Grenada, IFREMER, private",,,,,,
Grenada,MW,CRFM 2013,Active,,2013,,Mixed,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,Active,,2018,,Mixed,11,7,4,,,85,,(pelagic fishery is predominantly long-line),,,,,,,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,,,2018,Grenville,Public,5,5,,,,80,,,,,,,22.2,tons/yr,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,,,2018,Carriacou,Public,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MW,FAO et al. 2018,,,2018,Petit Martinique,Private,4,,4,,2,2,2,,,,,,,,,,,,,,,,,,,,
Guadeloupe,IR,"Mathieu et al., 2014",Introduction,"1988-1990, mainly private FADs",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,JL,Diaz et al. (WECAF Report 2002),Adoption,,1988,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2017,Adoption,,1990,,,,,,,,80,,,"4-5yrs ""at most""",,<10km,,,,,,,,,,,,,,,,
Guadeloupe,MW,Diaz et al. (WECAF Report 2002),Active,,1992,,Private,30,,30,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,"Diaz et al 2002, Lagin & Ledouble 1994",Active,,1994,,Mixed,58,10,48,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Diaz et al. (WECAF Report 2002),,,1994,,Public,,10,,,,,,,,,,,,,,,,,,EU,,,,,,,
Guadeloupe,MW,"Lagin & Ledouble, 1994",,,1994,Leeward coast,Private,,,48,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2018,Adoption,Adopted from mainland Guadeloupe fisher,1994,La Desirade,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Diaz et al. (WECAF Report 2002),Legislation,,1998,,,,,,,,,,,,,,,,,,,,,,,,Must declare deployment and coordinates to director of maritime affairs,,,,,
Guadeloupe,JL,Diaz et al. (WECAF Report 2002),Active,,2002,,Mixed,200,,,Fishers visit up to 10 FADs per day,,,4-5 (max 10),,,2000 m (max),<15 to >50 miles,,,,,"yellowfin, bluefin tuna and blue marlin account for about 80%. Seabream and Kingfish also caught.",,,$500 USD,,Europe,,Regulated by Title III (Article 39) of the Prefectoral Decree No. 981082 of 8 June 1998,,,,
Guadeloupe,MW,Guyader et al. 2011,,,2008,,,,,,,,,,,,,,,1090,metric tons/yr,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2013,,,2008,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Guadeloupe,MW,CRFM 2015,,,2010,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,MW,Guyader et al. 2017,Active,,2012,,,500,,500,2.1/100km2,,,,,,mean 2010m,mean 31.3km,,,,,,,,,,,,,,,,
Guadeloupe,MW,CRFM 2015,,,,,,,,,,,,,"37% of fleet, 28% landings, 25% value",,,,,,,,,,,,,mainly private,,,,,,
Guadeloupe,MW,"Mathieu et al., 2014",,,2013,,,400,,,Fishers visit on average 4 to 5 FADs per fishing trip,,Max 300 (see Fig. 1 for evolution over time),,Most fishers use FADs and Multipurpose fixed gear (31 %) only 24% perform exclusively FAD fishing,,,,,30 - 43,kg per fishing trip with FAD,~ 20 Euro per member per hour (see Fig.11 to compare with other gears),"Yellowfin tuna (35-36%), dolphin fish (29-33%) and blue marlin (9 -18 %)",,,,,,,,,,,
Haiti,MW,CRFM 2013,Introduction,,1985,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,MW,Valles 2015,Active,,2014,South,,21,21,,,450,136,,,,,,,43,metric tons/15 mo/6-7 FADs,,,,,,,,,,,,,
Haiti,JL,Valles 2018 (pers. comm.),Active,,2018,South,,14,14,,,,,,,,,,,,,"""Low, it is a hard life""","Mostly billfish overall. In the west more billfish, east more tunas.",,,,,Private company (Simone Brothers),,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,IR,"Mathieu et al., 2014",Introduction,Tried to develop large pelagic fishing by FAD use,1982,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,JL,Doray et al. (B) (WECAF Report 2002),Introduction,Pilot,1983,,Public,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,JL,Doray et al. (B) (WECAF Report 2002),Introduction,Pilot,1985,,Public,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,JL,Doray et al. (B) (WECAF Report 2002),Adoption,1989-1992,1989,,Public,11,11,,,,,,,,1989 and 1992: 320-600 m,,,,,,,Mostly seabreams and small tunas in 1991 and 1992 (detailed composition in Figures),,,,,,,,,,
Martinique,JL,Doray et al. (A) (WECAF Report 2002),Introduction,early 1990s,1992,,,,,,,,,1.9,,,1000-2000 m (500-800 m on Atlantic coast),,,,,,,,,,,,,,,,,
Martinique,JL,Doray et al. (B) (WECAF Report 2002),Adoption,,1993,,Public,16,16,,,,,,,,"1000 m (13 FADs), 400-500 m (4 FADs)",,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2007 (WECAFC 2007),Adoption,Some experimental,1993,,Public,44,44,,,,,,,,1000-2500 m,,,"25.6 in 1994, 30.4 kg in 1995 (average annual yield per outlet) ",,,,Increase in billfish and small tunas in 1994 and 1995 (detailed composition in Figures),,,,Ifremer,The Fisheries Committee from 1996 onwards,,,,,
Martinique,JL,Doray et al. (B) (WECAF Report 2002),Active,1999-2001,1999,,Mixed,10 publically-funded,10,,,,,7 vessels/FAD,,<2 years,,30 miles,,26.9 in 1998 and 52.9 kg in 2001 (average annual yield per outlet),,,,,,$2000 USD,,Ifremer,,,,,,
Martinique,MW,Reynal et al. 2007 (WECAFC 2007),Active,Aerial surveys - not full sample,2003,,Mixed,200,45,155,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015,Active,,2008,,Public,16,16,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2011,,,2009,,,,,,,,,,,,,,,334,metric tons/yr/12 FADs,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2015,,2009-2012,2009,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015,,,2010,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2011,,,2010,,,,,,,,,,,,,,,287,metric tons/yr/12 FADs,,,,,,,,,,,,,
Martinique,MW,CRFM 2015,,,2011,,,,,,,,,,"35% of fleet, 25% when considered only exclusive FAD fishers",,,,,,,,,,,,,,,,,,,
Martinique,MW,Leonel ppt (from flight transects),Active,,2011,,Mixed,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,MW,Reynal et al. 2015,,,2012,,,,,,,,,,,,,Half within 12nm,,,,,,,,,,,,,,,,
Martinique,MW,CRFM 2015 (Mathieu et al. 2014),,,,,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Martinique,MW,"CRFM 2015 (Reynal et al. 2015, FAO 2007)",,,,,,,,,,,,,,,,,,,,,,(see figures),,,,,,,,,,
Martinique,IR,"Mathieu et al., 2014",,,2013,,,,,,Fishers visit one or two FADs per fishing trip,,Max 300 (see Fig. 1 for evolution over time),,"Most fishers combine FADs and pots (34%), only 19% perfom exclusively FAD fishing",,,,,26.7,kg per fishing trip with FAD,,"Blue marlin ( 36 - 44%), yellowfin tuna (15- 25 %), dolphin fish ( 4- 9%).",,,,,mainly govt,,,,,,
Martinique,MW,Leonel (pers. comm.),Active,,2018,,Private,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Monserrat,MW,Waitt pers. comm.,,,2018,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Feigenbaum et al. 1989,Introduction,targetted to sportfishers,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Merten et al. 2018,Introduction,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,MW,Merten et al. 2018,Active,,2018,,Public,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,MW,Izioka (pers. comm.),Active,,2018,,Private,7,0,7,,7,7,,,,,5 km - 35/40 nm,,,,,"Wahoo, Mahi mahi",,Natural materials,,,,,,,,,
Saint Barthelemy,MW,LaPlace (pers. com.) 2018,Adoption,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,MW,LaPlace (pers. com.) 2018,Active,,2018,,,800,,,,,40,,,,,,,,,,,,,,,"Government, Netherlands?",,,,,,
Sint Eustatius,MW,Kitson-Walters (pers. com.) 2018,Adoption,Need to confirm this,2015,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Eustatius,MW,Kitson-Walters (pers. com.) 2018,Active,3 were lost during hurricane,2017,,Public,4,4,,,,,,,,,,,,,,,,,,,"Government, Netherlands?",,,,,,
Sint Eustatius,MW,Kitson-Walters (pers. com.) 2018,Active,Planning to replace,2018,,Public,1,1,,,,"5-10 actively fishing FADs, <20 registered",,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,IR,"SeaGrant, JICA, and UF 2017",,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),Introduction,Introduced from US NGO in 1980s,1985,,,,,,,,,,,,600-800ft,,,,,,,,"""McIntosh plastic kite"" or floating drum method, anchored with engine blocks, floats with radar deflector and light",,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),Adoption,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),Legislation,,1995,,,,,,,,,,,,,,,,,,,,,,,,,(need to find details),,,,
Saint Kitts & Nevis,JL,Heyliger (WECAF Report 2002),,,2000,,,,,,,,,,,,,,,64000,"lbs (annual, year 2000)","EC $439,000 (annual, year 2000)",,,,,,,,,,,,
Saint Kitts & Nevis,MW,Wilkins 2007 (WECAFC report),,,2002,,,,,,,,,,,,1500-3000ft,20-30nm,,,,,,,"3/8-1/2"" poly rope, 9-12 floats, old netting, single engine block so they can be relocated if found by other fishers",,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,Active,,2013,,,35,6,29,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,,,2013,Nevis,,,,,,41,16,,,,,,,,,,,,,,,"IFREMER, JICA, CAMPAM, private",,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,,,2013,Nevis,Public,2,,,,,,,,,,,,,,,,,,,,"IFREMER, JICA, CAMPAM, private",,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,,,2013,Nevis,Private,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,,,2013,Saint Kitts,Public,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,MW,CRFM 2013,,,2013,Saint Kitts,Private,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,MW,CRFM 2015,Legislation,,1984,,,,,,,,,,,,,,,,,,,,,,,"FAO, JICA, Govt. Saint Lucia, EU, fisher cooperatives and private",,(need to find details),,,,
Saint Lucia,MW,George 2007 (WECAFC report),Introduction,"with funding from JICA, eventually FTC (1996)",1993,,Public,,,,,,,,,,,,,,,,,,,,,JICA,,,,,,
Saint Lucia,MW,George 2007 (WECAFC report),Introduction,,1996,,Public,,,,,,,,,,,,,,,,,,,,,"JICA, FTC",,,,,,
Saint Lucia,MW,George 2007 (WECAFC report),,,2002,,,,,,,,,,,6mo-2yr,500-2000ft (? report unit says miles...),10m,min 5nm apart,,,,,,,7000 ECD,,,,,,,,
Saint Lucia,JL,James (WECAF Report 2002),,,2002,,,12 (only 1 remains),,,,,,,,14 months,,,,,,,"Marlin, Bigeye tuna",Marlins ranging from 36.4 to 386.4 kg,,,,,The Fisheries Department,,,,,
Saint Lucia,MW,CRFM 2015,Active,(est. 10-15 FADs),2015,,,12,,,,1000,500,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,IR,"SeaGrant, JICA, and UF 2017",,,,,Private,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,43,Black,23.13,20
Saint Martin,MW,LaPlace (pers. com.) 2018,Active,,2018,,,20,,,,,7,,,,,,,,,,,,,,,,,,,,,
Saint Vincent & the Grenadines,JL,Johnson (WECAF 2002 Report),Introduction,,1997,,,1,1,0,,,,,,,50m,5nm,,,,,"Bonito, skipjacks and dolphinfish",,Bamboo,,,,,,,,,
Saint Vincent & the Grenadines,MW,CRFM 2013,Active,,2013,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent & the Grenadines,MW,George 2007 (WECAFC report),Introduction,Proposed public FAD,2002,,Public,1,,,,,,,,,100m,5nm,,,,,,,"""spar buoy"" design - surface buoy with tension, gas cylinder as spar buoy, cast concrete anchor blocks",4700 ECD (? or USD?),,,,,,,,
Saint Vincent & the Grenadines,IR,"SeaGrant, JICA, and UF 2017",,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,43,Black,22.75,18
Saint Vincent & the Grenadines,MW,CRFM 2015,,,,,,,,,,,,,,,,,,6.9,metric tons/16mo/2 FADs,,,,,,,,,,,,,
Saint Vincent & the Grenadines,MW,CRFM 2015,,,(see CRFM 2013),,,,,,,,,,,,,,,,,,(see Fig. 8),,,,,,,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),Introduction,"Bamboo FADs introduced, apparently successful but fishers would not share information about catches, eventually FADs deteriorated and were not replaced",1999,,Public,3,,,,,,,,,,,,,,,,,Bamboo,,,"CFTDI, JICA",,,,,,
Trinidad & Tobago,JL,Lalla (WECAF Report 2002),Introduction,Bamboo FAD (trial),2002,,Public,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),Introduction,"little monitoring, eventually deteriorated",2002,,Public,10,,,,,,,,,,,,,,,,,Bamboo or McIntosh,,,,,,,,,
Trinidad & Tobago,MW,Lalla 2007 (WECAFC report),Introduction,,2003,,Public,11,,,,,,,,,100m,2.5-4nm,min 3nm apart (apparently most productive),,,,,,"Bamboo or McIntosh, flag marker (no radar)",,,,,,,,,
Trinidad & Tobago,MW,CRFM 2015,Active,Tobago only,2013,Tobago,,11,,,,100,,,25% of fishers,,,,,,,,,,,,,,,,,,,
Turks & Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVIs,MW,Friedlander et al. 1994,Introduction,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVIs,MW,USVI Fish and Wildlife 2018 (website),Introduction,,2018,,Public,4,,,,,,,,,,,,,,,,,,,,,,,,,,
