Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,"Atlantic cod, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Atlantic herring, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Atlantic salmon and Danube salmon, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22 F,...,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1,0 0
Antigua and Barbuda,"Cape hake fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Carps, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,Caviar,Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,-,-,-,-,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,Caviar and caviar substitutes,Imports,Tonnes,...,0 0,0 0,...,1,1,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,0 0,...,0 0,...,...,0 0,2,2,...,2,2,1,1,1,2,1,1
Antigua and Barbuda,"Cod nei fillets, dried, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5 F,...,...,...,...,7 F,...,...,8 F,...,...,...,5 F,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cod nei, fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cod, salted and dried (klipfish)",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7 F,38 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cods nei, dried,  whether or not salted",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,3,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,0 0
Antigua and Barbuda,"Cods nei, dried,  whether or not salted",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76,93,...,...,6 F,3 F,39,81,69,0 0,43,20,18,22,17,24,49,25
Antigua and Barbuda,"Cods nei, dried,  whether or not salted",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,3,-,-,-,-,-,-,-,-,-,-,0 0,0 0,1,-,1,0 0
Antigua and Barbuda,"Cods nei, fillets, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cods nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,...,...,...,...,4 F,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cods nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,5,...,0 0,4 F,0 0,0 0,67,2,...,...,0 0,0 0,1,1,0 0,-,1
Antigua and Barbuda,"Cods nei, salted or in brine",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0,-,-
Antigua and Barbuda,"Cods nei, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,4 F,3 F,5 F,...,...,1 F,...,3 F,...,7,3,-,-,-,0 0,-,-,-,-,-,0 0
Antigua and Barbuda,"Cods nei, salted or in brine",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,0 0,-,-
Antigua and Barbuda,"Cods, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cods, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,0 0,0 0,1,...,...,...,...,...,...,...,0 0,0 0
Antigua and Barbuda,"Cods, fresh or chilled, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Cods, not minced, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,1 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Common sole, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,-,-,-,-,-,-,-,-,-,-,-,-,0 0,-,-,0 0
Antigua and Barbuda,"Common sole, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Diadromous fish, dried, whether or not salted, nei",Imports,Tonnes,...,7,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,Eels and elvers live,Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,0 0,1,0 0,0 0
Antigua and Barbuda,"Eels, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,0 0,-,0 0,-,0 0,-,0 0
Antigua and Barbuda,"Eels, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,-,-,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Antigua and Barbuda,"Euthynnus other than skipjack prep. or pres. not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish body oils, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-
Antigua and Barbuda,"Fish dried, whether or not salted, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-
Antigua and Barbuda,"Fish dried, whether or not salted, nei",Imports,Tonnes,49 F,38,18,20 F,32,10,...,...,70,...,320 F,...,...,...,...,...,...,...,...,27 F,43 F,73 F,49 F,32,82,47 F,29 F,32 F,49 F,402,344,348,250 F,380 F,335,329,360,280,252,327,318
Antigua and Barbuda,"Fish dried, whether or not salted, nei",Reexports,Tonnes,...,0 0,...,...,0 0,10,...,...,0 0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,1,...,...,...,...,0 0,-,-,-,-,-,-,-,0 0,11,1,-
Antigua and Barbuda,"Fish fillets, dried, salted or in brine, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish fillets, dried, salted or in brine, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10 F,...,...,4 F,3 F,3 F,3 F,1,5,7 F,12 F,8 F,14 F,2,1,1,9 F,2,2,2,7,16,2,6,10
Antigua and Barbuda,"Fish fillets, dried, salted or in brine, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish fillets, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,0 0,...,...,...,...,...,...,...,...,...,...,3 F,...,2 F,...,13,15,0 0,9 F,9 F,15 F,4,3,21,1 F,...,6,3,3,4,2,1,1
Antigua and Barbuda,"Fish fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,3,...,...,...,...,...,...,...,...,...,...,27 F,...,...,...,31,173,5 F,16 F,23 F,180 F,112,161,139,123 F,...,78,128,118,168,180,156,187
Antigua and Barbuda,"Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish live, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,0 0,-,-
Antigua and Barbuda,"Fish live, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,...,0 0,0 0,0 0,0 0,1,0 0,0 0,1,0 0,0 0,0 0,0 0
Antigua and Barbuda,"Fish live, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish liver oils, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0
Antigua and Barbuda,"Fish liver oils, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,0 0,...,...,...,0 0,-,-,0 0,-,0 0,1,3,3,4
Antigua and Barbuda,"Fish liver oils, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0
Antigua and Barbuda,"Fish meat, whether or not minced, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20 F,42 F,...,18 F,...,...,...,...,...,...,...,...,...,0 0,-,-
Antigua and Barbuda,"Fish meat, whether or not minced, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,2 F,0 0,4,45,...,26 F,76 F,70 F,57,105,90,45 F,...,164,115,96,50,48,37,15
Antigua and Barbuda,"Fish meat, whether or not minced, frozen, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,...,...,...,0 0,...,...,...,...,-,0 0,0 0,-,-
Antigua and Barbuda,"Fish minced (=surimi), frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20 F,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish minced nei, prepared or preserved",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,0 0,-,-
Antigua and Barbuda,"Fish minced nei, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,5 F,...,4 F,3,10,...,12 F,9 F,5 F,5,8,7,14 F,17,9,8,7,7,8,7,8
Antigua and Barbuda,"Fish minced nei, prepared or preserved",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,0 0,-,-
Antigua and Barbuda,"Fish nei, prepared or preserved, not minced",Imports,Tonnes,45 F,14,26,80 F,135,74,170 F,150 F,37,130 F,120 F,100 F,150 F,225 F,216 F,235 F,250 F,272 F,270 F,...,...,...,...,31,17,0 0,0 0,0 0,0 0,23,40,56,52 F,63,57,19,11,12,10,10,15
Antigua and Barbuda,"Fish nei, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,85 F,128 F,130 F,...,2 F,...,0 0,42,66,8 F,2 F,14 F,5 F,43,51,35,10 F,37,45,90,100,93,147,136,136
Antigua and Barbuda,"Fish nei, salted or in brine",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,0 0,-
Antigua and Barbuda,"Fish nei, smoked",Imports,Tonnes,...,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,51,41,0 0,0 0,0 0,0 0,5,5,14,0 0,2,2,2,6,24,27,17,31
Antigua and Barbuda,"Fish, dried, salted or smoked",Imports,Tonnes,...,...,...,...,...,...,420 F,400 F,...,510 F,160 F,378,437,495,313,33,...,...,...,...,...,...,...,...,...,...,...,...,11 F,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fish, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,...,2,-,2,0 0,1,-,-,0 0,-,-
Antigua and Barbuda,"Fish, fresh or chilled, nei",Imports,Tonnes,44 F,5,7,8 F,8,8,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,6,0 0,79 F,109 F,2 F,8,12,126,283 F,187,73,91,113,132,88,158,50
Antigua and Barbuda,"Fish, fresh or chilled, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,...,...,...,...,...,...,0 0,...,...,...,...,...,...,0 0,0 0,-
Antigua and Barbuda,"Fish, frozen, nei",Imports,Tonnes,1 F,3,9,12 F,14,24,...,...,13,25 F,20 F,54,115,66,11,28,22,49,30 F,10 F,2 F,11 F,...,86,205,0 0,39 F,44 F,49 F,204,141,216,7 F,119,112,88,48,81,103,75,77
Antigua and Barbuda,"Fishmeal fit for human consumption, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fishmeal fit for human consumption, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,4 F,...,...,...,0 0,0 0,...,...,1 F,8 F,...,...,...,...,0 0,-,0 0,0 0,-,-,-,-
Antigua and Barbuda,"Fishmeals, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,200 F,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Fishmeals, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26 F,...,...,...,0 0,-,0 0,-,-,-,0 0,1,4,6
Antigua and Barbuda,"Flatfish fillets in blocks, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19 F,40 F,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Flatfish nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-,-,0 0,-,-,-,-,-,-
Antigua and Barbuda,"Flatfish nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,26,...,0 0,33 F,33 F,1,1,7,-,2,0 0,0 0,0 0,1,2,2,1
Antigua and Barbuda,"Flatfish nei, frozen",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-,-,0 0,-,-,-,-,-,-
Antigua and Barbuda,"Flatfish, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Flatfish, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,0 0,7,1,-,-,-,-,-,-,-,0 0,-,-
Antigua and Barbuda,"Freshwater fish, nei, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6 F,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Gadiformes nei, dried and salted",Imports,Tonnes,...,...,...,...,...,...,...,...,70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Gadiformes nei, dried and salted",Reexports,Tonnes,...,...,...,...,0 0,-,-,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Gadiformes, dried, whether or not salted, but not smoked",Imports,Tonnes,322 F,177,209,330 F,458,361,-,-,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Gadiformes, salted or in brine, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,8 F,-,2 F,...,...,2 F,9 F,7 F,26 F,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Gadiformes, smoked",Imports,Tonnes,...,...,...,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Haddock dried, whether or not salted, but not smoked",Imports,Tonnes,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Haddock, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Haddock, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,2,...,...,...,...,0 0,0 0,231,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Hake nei fillets, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Hakes nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6 F,...,...,...,...,...,0 0,...,...,...,1 F,0 0,-,-,-,-,-,-,-
Antigua and Barbuda,"Hakes, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,-,1 F,...,...,5 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Halibuts nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,...,0 0,-,0 0,-,-,-,-,-,0 0,-,-,-
Antigua and Barbuda,"Halibuts, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,-,-,-,-,-,-,0 0,0 0,0 0
Antigua and Barbuda,"Herring fillets, dried, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,2 F,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Herring nei, fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13 F,33 F,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Herring, salted or in brine",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-
Antigua and Barbuda,"Herring, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,0 0,...,...,2,-,-,-,-,-,-,-,0 0,0 0
Antigua and Barbuda,"Herring, salted or in brine",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,0 0,-,0 0,-,-
Antigua and Barbuda,"Herrings nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-
Antigua and Barbuda,"Herrings nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,19,12,0 0,...,...,0 0,1,0 0,...,...,55,-
Antigua and Barbuda,"Herrings nei, frozen",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-
Antigua and Barbuda,"Herrings nei, smoked",Imports,Tonnes,...,...,...,...,...,...,...,...,21,...,...,...,...,...,...,...,20 F,...,...,13 F,13 F,2 F,21 F,13,8,19 F,31 F,34 F,44 F,22,35,35,52 F,62,41,51,47,47,56,64,52
Antigua and Barbuda,"Herrings prepared or preserved, not minced, nei",Imports,Tonnes,...,12,6,5 F,12,9,...,...,27,...,...,...,...,...,...,...,...,...,...,5 F,...,4 F,1 F,8,7,...,...,0 0,0 0,3,2,1,0 0,1,1,1,1,1,2,0 0,0 0
Antigua and Barbuda,"Herrings prepared or preserved, not minced, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,0 0,-
