Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,0.7744462
Cayman Islands,CYM,Voice and Accountability: Estimate,VA.EST,0.4919728
Cuba,CUB,Control of Corruption: Estimate,CC.EST,0.1654153
Cuba,CUB,Government Effectiveness: Estimate,GE.EST,-0.2448378
Cuba,CUB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6523342
Cuba,CUB,Regulatory Quality: Estimate,RQ.EST,-1.455965
Cuba,CUB,Rule of Law: Estimate,RL.EST,-0.4443496
Cuba,CUB,Voice and Accountability: Estimate,VA.EST,-1.444819
Dominica,DMA,Control of Corruption: Estimate,CC.EST,0.5457337
Dominica,DMA,Government Effectiveness: Estimate,GE.EST,-0.2895034
Dominica,DMA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.107935
Dominica,DMA,Regulatory Quality: Estimate,RQ.EST,0.0820731
Dominica,DMA,Rule of Law: Estimate,RL.EST,0.6176011
Dominica,DMA,Voice and Accountability: Estimate,VA.EST,0.8105155
Dominican Republic,DOM,Control of Corruption: Estimate,CC.EST,-0.74949
Dominican Republic,DOM,Government Effectiveness: Estimate,GE.EST,-0.4002573
Dominican Republic,DOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0347933
Dominican Republic,DOM,Regulatory Quality: Estimate,RQ.EST,-0.0771244
Dominican Republic,DOM,Rule of Law: Estimate,RL.EST,-0.3962312
Dominican Republic,DOM,Voice and Accountability: Estimate,VA.EST,0.1374327
Haiti,HTI,Control of Corruption: Estimate,CC.EST,-1.265189
Haiti,HTI,Government Effectiveness: Estimate,GE.EST,-1.909054
Haiti,HTI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6268144
Haiti,HTI,Regulatory Quality: Estimate,RQ.EST,-1.224258
Haiti,HTI,Rule of Law: Estimate,RL.EST,-1.028031
Haiti,HTI,Voice and Accountability: Estimate,VA.EST,-0.7454833
Martinique,MTQ,Control of Corruption: Estimate,CC.EST,1.238614
Martinique,MTQ,Government Effectiveness: Estimate,GE.EST,1.108839
Martinique,MTQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9858225
Martinique,MTQ,Regulatory Quality: Estimate,RQ.EST,1.187921
Martinique,MTQ,Rule of Law: Estimate,RL.EST,0.8764146
Martinique,MTQ,Voice and Accountability: Estimate,VA.EST,..
Virgin Islands (U.S.),VIR,Control of Corruption: Estimate,CC.EST,0.6316952
Virgin Islands (U.S.),VIR,Government Effectiveness: Estimate,GE.EST,0.8301269
Virgin Islands (U.S.),VIR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9858225
Virgin Islands (U.S.),VIR,Regulatory Quality: Estimate,RQ.EST,0.8194681
Virgin Islands (U.S.),VIR,Rule of Law: Estimate,RL.EST,1.120189
Virgin Islands (U.S.),VIR,Voice and Accountability: Estimate,VA.EST,..
Trinidad and Tobago,TTO,Control of Corruption: Estimate,CC.EST,-0.317267
Trinidad and Tobago,TTO,Government Effectiveness: Estimate,GE.EST,0.1902379
Trinidad and Tobago,TTO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2480514
Trinidad and Tobago,TTO,Regulatory Quality: Estimate,RQ.EST,-0.0206371
Trinidad and Tobago,TTO,Rule of Law: Estimate,RL.EST,-0.1205074
Trinidad and Tobago,TTO,Voice and Accountability: Estimate,VA.EST,0.5656093
St. Kitts and Nevis,KNA,Control of Corruption: Estimate,CC.EST,0.4525903
St. Kitts and Nevis,KNA,Government Effectiveness: Estimate,GE.EST,0.5514148
St. Kitts and Nevis,KNA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7104676
St. Kitts and Nevis,KNA,Regulatory Quality: Estimate,RQ.EST,0.5108522
St. Kitts and Nevis,KNA,Rule of Law: Estimate,RL.EST,0.5333768
St. Kitts and Nevis,KNA,Voice and Accountability: Estimate,VA.EST,0.8967314
St. Vincent and the Grenadines,VCT,Control of Corruption: Estimate,CC.EST,0.7688255
St. Vincent and the Grenadines,VCT,Government Effectiveness: Estimate,GE.EST,0.1956703
St. Vincent and the Grenadines,VCT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8540489
St. Vincent and the Grenadines,VCT,Regulatory Quality: Estimate,RQ.EST,0.2558284
St. Vincent and the Grenadines,VCT,Rule of Law: Estimate,RL.EST,0.4326417
St. Vincent and the Grenadines,VCT,Voice and Accountability: Estimate,VA.EST,0.8780061
St. Lucia,LCA,Control of Corruption: Estimate,CC.EST,0.5362028
St. Lucia,LCA,Government Effectiveness: Estimate,GE.EST,0.1956703
St. Lucia,LCA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.013306
St. Lucia,LCA,Regulatory Quality: Estimate,RQ.EST,0.2870998
St. Lucia,LCA,Rule of Law: Estimate,RL.EST,0.5592496
St. Lucia,LCA,Voice and Accountability: Estimate,VA.EST,0.8583953
Puerto Rico,PRI,Control of Corruption: Estimate,CC.EST,0.0401706
Puerto Rico,PRI,Government Effectiveness: Estimate,GE.EST,-0.156924
Puerto Rico,PRI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4000113
Puerto Rico,PRI,Regulatory Quality: Estimate,RQ.EST,0.9279462
Puerto Rico,PRI,Rule of Law: Estimate,RL.EST,0.5868457
Puerto Rico,PRI,Voice and Accountability: Estimate,VA.EST,0.4919728
