country,Total_Employment,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Saint Kitts and Nevis,% share of total employment,72.269,71.977,72.1436,67.9704,58.511,43.1709,42.5751,38.805,54.3592,72.0247,79.7502,75.1742,65.2592,54.099,44.5012,49.1048,54.9175,54.9915,58.7732,65.4947,51.9233,53.2242,54.1078,59.8925,60.1753,60.5022,60.6299,61.0238,62.2542,63.8895,65.8446,68.4003,70.9142,73.2052,75.6812
Saint Kitts and Nevis,Thousands of jobs,13.5409,13.4207,13.6057,12.9638,11.2845,8.40919,8.51464,7.96522,11.4483,15.5584,17.4598,16.6499,14.6205,12.2583,10.1971,11.3773,12.8647,13.0229,14.069,15.8457,12.6952,13.1343,13.4859,15.0904,15.3238,15.5689,15.7624,16.0266,16.5149,17.1182,17.8184,18.6766,19.4739,20.2174,21.0195
Saint Kitts and Nevis,% growth,-20.7872,-0.887474,1.37859,-4.71833,-12.9538,-25.4799,1.25402,-6.45266,43.7284,35.9019,12.2208,-4.63889,-12.1887,-16.1568,-16.8146,11.5742,13.0735,1.2295,8.03261,12.6284,-19.8822,3.45894,2.67677,11.8977,1.54712,1.59883,1.24319,1.67628,3.04665,3.65302,4.09058,4.8164,4.26869,3.81802,3.96725
Saint Lucia,% share of total employment,45.3235,44.4564,47.7868,46.7014,42.4785,42.683,41.5294,40.8488,44.9894,46.4037,48.815,41.8691,40.3808,39.5956,37.1076,35.7401,36.6744,38.1614,39.6214,39.9514,40.6499,42.3444,42.7876,41.8258,43.0032,43.7518,44.2078,44.4229,44.6831,44.9223,45.3151,45.9587,46.4844,47.1005,47.6437
Saint Lucia,Thousands of jobs,24.4053,24.9928,26.5933,26.362,25.3966,27.1191,25.7586,25.7985,28.6646,28.9605,31.5235,28.4562,27.6912,27.3627,25.3585,24.3225,24.9599,26.1934,27.1815,27.4308,28.449,31.1888,32.5434,32.6331,34.297,35.5018,36.365,36.9712,37.5509,38.0681,38.6835,39.4584,40.0595,40.662,41.1451
Saint Lucia,% growth,10.2918,2.40737,6.40376,-0.86985,-3.66196,6.78221,-5.01667,0.154709,11.1095,1.03255,8.84975,-9.72996,-2.68865,-1.1862,-7.32456,-4.08556,2.62097,4.94175,3.7724,0.917099,3.71177,9.63056,4.34339,0.275459,5.09892,3.51302,2.43136,1.66705,1.56777,1.37737,1.61676,2.00311,1.52322,1.5041,1.188
Saint Vincent and the Grenadines,% share of total employment,40.1277,42.9432,47.6556,46.1975,49.5203,47.6249,47.9387,47.3282,45.465,44.0055,46.0189,46.6994,42.1927,36.7753,33.886,34.3016,33.4111,34.4485,35.3603,34.6253,38.8654,40.3848,39.8311,42.0618,42.7407,43.8325,44.8371,45.5197,46.2502,46.9744,47.6075,48.4268,49.3363,50.1557,50.6405
Saint Vincent and the Grenadines,Thousands of jobs,14.9524,16.1528,18.0922,17.693,19.1188,18.5254,18.8408,18.7921,18.2336,17.8246,18.8242,19.2772,17.569,15.4435,14.3488,14.6438,14.3331,14.8508,15.3165,15.0599,16.9578,17.7085,17.5367,18.5687,18.9005,19.4162,19.895,20.2322,20.5918,20.9561,21.281,21.6472,21.9957,22.302,22.4579
Saint Vincent and the Grenadines,% growth,13.0557,8.02856,12.0061,-2.20647,8.05888,-3.10384,1.70246,-0.258179,-2.97207,-2.24326,5.60769,2.40682,-8.86119,-12.0984,-7.08823,2.05583,-2.12179,3.61215,3.13567,-1.67516,12.6024,4.42698,-0.970337,5.88476,1.78693,2.72883,2.46573,1.69494,1.7775,1.76902,1.55017,1.72086,1.61023,1.39246,0.698982
Trinidad and Tobago,% share of total employment,9.27546,9.9638,10.5225,10.8502,10.6874,9.67977,10.0079,10.5371,9.75507,10.6754,8.58592,7.92019,9.4463,8.41353,10.028,10.0952,9.97212,11.7268,10.4522,10.1075,10.034,9.83501,10.0435,9.51294,9.92152,10.0221,10.1096,10.1542,10.2453,10.3012,10.3828,10.3936,10.4118,10.4314,10.448
Trinidad and Tobago,Thousands of jobs,40.07,44.2393,48.4034,51.9723,52.2616,48.6893,51.4408,55.3197,52.0921,59.9959,49.2832,46.4123,55.5443,50.3129,58.9646,58.7538,58.7857,70.0091,64.9081,64.3846,62.5116,60.2886,61.5357,59.037,62.0665,62.9173,63.6405,64.1476,64.8953,65.4282,66.1273,66.3768,66.6755,66.9834,67.2737
Trinidad and Tobago,% growth,2.50694,10.405,9.41275,7.37315,0.556732,-6.83555,5.6513,7.54053,-5.83459,15.1729,-17.8558,-5.82526,19.6757,-9.41836,17.1959,-0.357529,0.05,19.0921,-7.28621,-0.806473,-2.90914,-3.5561,2.0686,-4.06054,5.13144,1.37077,1.14945,0.796822,1.1656,0.82122,1.06854,0.377235,0.45005,0.461838,0.433289
"Virgin Islands, British",% share of total employment,89.7718,101.082,77.5491,78.0745,80.7092,80.7859,80.5447,83.4653,98.422,89.9777,88.713,81.2381,78.2409,83.8063,68.5915,71.3048,72.5595,80.2519,79.3233,84.1354,84.0559,85.2427,59.8671,50.7073,53.5541,55.5979,56.1647,55.9431,55.8325,55.5119,55.5894,55.3297,54.8938,54.4641,53.7948
"Virgin Islands, British",Thousands of jobs,7.00221,7.98545,6.20393,6.32404,6.61815,6.70523,6.8463,7.17801,8.56271,7.91803,7.89546,7.31143,7.19816,7.79398,6.44761,6.77396,7.06621,7.98476,8.0438,8.6865,8.83435,8.9629,5.57123,5.07273,5.48213,5.84655,6.01069,6.0911,6.16099,6.16238,6.208,6.2099,6.19177,6.17401,6.12254
"Virgin Islands, British",% growth,-17.8825,14.0419,-22.3095,1.93592,4.65076,1.31577,2.10381,4.84522,19.2908,-7.52892,-0.285133,-7.39694,-1.54919,8.27737,-17.2746,5.06159,4.31433,12.9993,0.739349,7.99001,1.70207,1.4552,-37.8412,-8.94768,8.07043,6.64749,2.80741,1.33781,1.14748,0.02,0.740372,0.03,-0.291916,-0.286774,-0.833702
"Virgin Islands, U.S.",% share of total employment,49.7658,23.6061,42.7982,46.7354,37.7635,21.392,30.8283,36.9994,33.8817,30.9038,33.6414,33.7557,32.5699,41.9439,40.3915,40.3734,57.5158,64.7361,68.2628,60.2251,66.7561,64.5907,57.2726,52.3636,52.044,53.1402,53.7349,54.5696,55.4516,56.4448,56.0036,56.1487,55.852,55.865,56.2809
"Virgin Islands, U.S.",Thousands of jobs,22.4294,10.238,18.6172,20.4187,16.2912,9.51944,14.2242,16.6423,14.786,14.3242,15.9127,16.4188,16.1374,20.7996,19.7365,19.0853,26.5268,28.9105,28.129,24.5225,28.7212,27.6248,24.2939,21.6247,22.1327,22.7633,23.1393,23.675,24.2381,24.8572,25.2671,25.4592,25.4513,25.5591,25.8266
"Virgin Islands, U.S.",% growth,-11.6026,-54.3547,81.8447,9.67636,-20.2143,-41.5669,49.4222,17.0005,-11.1544,-3.12293,11.0896,3.18021,-1.71387,28.8906,-5.11108,-3.29934,38.9909,8.98573,-2.703,-12.8215,17.1219,-3.81726,-12.0576,-10.9871,2.34922,2.8489,1.65202,2.31503,2.37836,2.55455,1.64903,0.760269,-0.03,0.423454,1.04671
